epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9723.73,2.36552,1.61183,1.06171,0.29356,0.3381,0.20034,0.05332,2.87443,1.66721,1.06927,0.000614,0.000614,0.000614
44,9859.64,2.36765,1.6294,1.06741,0.29887,0.34318,0.21151,0.06513,2.69,1.66684,1.01014,0.000581,0.000581,0.000581
45,9995.18,2.35244,1.62079,1.0653,0.25265,0.30464,0.16486,0.04718,2.80434,1.7668,1.05265,0.000548,0.000548,0.000548
46,10130.5,2.32012,1.61084,1.06066,0.27114,0.31024,0.17329,0.04438,2.96391,1.69225,1.10834,0.000515,0.000515,0.000515
47,10265.3,2.31249,1.6079,1.06846,0.29378,0.34294,0.20544,0.05774,2.7688,1.66497,1.03641,0.000482,0.000482,0.000482
48,10404.2,2.35137,1.60177,1.06427,0.17887,0.24284,0.09196,0.02076,3.19955,1.90429,1.20746,0.000449,0.000449,0.000449
49,10541.6,2.32778,1.61669,1.06457,0.28134,0.32242,0.18893,0.05275,2.80109,1.68726,1.05559,0.000416,0.000416,0.000416
50,10676,2.31742,1.59063,1.06483,0.30782,0.35754,0.22565,0.07084,2.60818,1.62567,1.0094,0.000383,0.000383,0.000383
51,10802.6,2.24833,1.58122,1.05183,0.30611,0.34375,0.21699,0.06211,2.71488,1.63716,1.03543,0.00035,0.00035,0.00035
52,12856.9,2.2213,1.55883,1.05252,0.29061,0.346,0.20812,0.06093,2.72062,1.66048,1.04056,0.000317,0.000317,0.000317
53,12981.2,2.2197,1.57914,1.04626,0.30055,0.35175,0.21724,0.06116,2.72975,1.64611,1.03865,0.000284,0.000284,0.000284
54,13108.7,2.24334,1.57086,1.04599,0.31956,0.36199,0.23637,0.06999,2.66746,1.62834,1.01854,0.000251,0.000251,0.000251
55,13234.5,2.23328,1.5584,1.04594,0.32242,0.36668,0.24084,0.07482,2.59711,1.59889,1.00319,0.000218,0.000218,0.000218
56,13361.3,2.22147,1.53311,1.04473,0.31137,0.34773,0.22026,0.06052,2.77738,1.63347,1.06081,0.000185,0.000185,0.000185
57,13487.3,2.19071,1.54315,1.04692,0.31901,0.36869,0.23519,0.06863,2.67017,1.62627,1.02401,0.000152,0.000152,0.000152
58,13613.4,2.19686,1.5352,1.04558,0.32679,0.36941,0.24469,0.07485,2.60739,1.59426,1.01331,0.000119,0.000119,0.000119
59,13739.2,2.19902,1.51998,1.04409,0.3178,0.36376,0.23465,0.0699,2.67249,1.61027,1.03338,8.6e-05,8.6e-05,8.6e-05
60,13883.8,2.19058,1.54669,1.05584,0.32278,0.36702,0.24082,0.0742,2.61711,1.59786,1.01748,5.3e-05,5.3e-05,5.3e-05
